id,type,text1,text2,text3,notes
#Worlds,,,,,
DR_planet_new_terra,CUSTOM,"New Terra is the capital of the domain reformed. Propagandized as an earthly paradise by many across the sector, it is covered almost completely in ruins from the domain era. The entire planet has been given over to ruin restoration efforts. Due to this fact, no mega-corporations have been given special economic zones on the planet for heavy industry. Access has been heavily restricted ever since a Luddic path assassin nearly assassinated director Ivanov. The population is made up entirely of first class citizen comprised of veterans, high ranking government officials and rich oligarchs.",,,
DR,FACTION,"“My name is Yahya Ivanov and I have a pair of questions for you: is a people's success not determined by how they govern themselves? Has the sector been worse since the collapse?”
In c+ 181 after the destruction of Opis, a young man appeared with a message that resonated across the entire sector. It was this: The decline of the sector was because the Hegemony did not go far enough to be like the domain, and the people of the sector must set out into wild space and one day restore the universe to its halcyon past.  This man was Yahya Ivanov, a former student of the Opis Academy’s College of History, and he had a dream of rebirth. Thus began the Domain Reconstructionists movement.
The Domain Reformed, Domain, DR, Adonis special autonomous zone (if you ask a hegemony official), Hegemonies mad dog or New Domain is a hyper-reactionary irredentist nostalgia state.  It is obsessed with trying to be like the old domain. Especially the outer trappings and symbols. The domain reformed puts great effort into managing its public image across the sector.  portraying itself as an oasis of prosperity, democracy, and order among the endless chaos, despotism and barbarism of the rest of the sector.
The Domain Reformed government is loosely based on that of the Domains with one very important difference. The position of Director. The Director is an absolute dictator that can countermand any policy from the democratic government and dictate the direction of the nation at will. The domain reformed has had only one Director. Its founder Yahya Ivanov. Many argue that this means the domain reformed is a dictatorship and not a true rebirth of the Domain of Man. If you were to bring this up to Yahya Ivanov he would tell you that when a state is in a time of distress a dictator becomes necessary and insist that he will step down when the time is right. Then give you a one hour lecture on early Roman history. 
In the ruins of an old university the legendary archaeologist James, black tail, Sparks found a data pad with a series of unencrypted ship blueprints. Ever since the Dominion Reconstructionists have primarily used these warships. They Insist that they were the next generation of designs intended to be used by the Domain right before the collapse despite the insistence of credible historians and the XIV battlegroup that this is not true.
The DR economy is built on heavy industry and weapons manufacturing. The Domain Reconstructionists to build up the military-industrial complex necessary to protect itself from other factions designated all areas not covered in ruins or renovated ruins as special economic zones for businesses related to the military industrial complex. Resulting in one of the strangest economies in the sector, where a combat mech is worthless than a house. The Domain Reformed has become the sector's arms factory open to any with deep enough pockets.This has led to the rise of oligarchs that hold almost as much power as Director Ivanov Thousands of immigrants slave away in these zones and in the military dreaming of the day, they will be selected to become first class citizens and purchase one of the apartments rebuilt from the ruins from the Domain era. In these renovated areas people live based on what the Domain Reconstructionists think life was like back during the domain. High-paying jobs are easy to find ,and comprehensive social programs are quick  to access in these idealistic places. 
 The Domain Reformed is technically a part of hegemony. The Domain Reconstructionists gain a degree of security from the “seditious savages”. The Hegemony gets a source of cannon fodder and not having to deal with the Domain Reconstructionists problem right now. Both sides are aware of how this relationship must eventually end. The Domain Reconstructionists hate the Luddic church in particular for destroying domain-era artifacts and absolutely despise the Luddic path for trying to assassinate their beloved director.

",,,
DR_planet_Ilyin,CUSTOM,"Illyn is the oil soaked, blood soaked hell of the persean sector. It is also the most populated world in the Metternich system. Due to having the smallest amount of ruins most of the world has been handed over to mega-corporations for arms manufacturing. Because of this Illyn has become the industrial heart of the system. It�s a common saying that more weapons flow from Illyin than water in its rivers.  The rampant over-industrialization has resulted in extreme levels of pollution that have reduced its temperature even lower than regular tundra worlds as not enough light can get in. Most residents have chosen detoxifier lungs as their state substized domain era verified* legally mandated cybernetic. Gang warfare is quite common on this planet as the Mega Corps compete to expand their pseudo-fiefdoms and . A sizable proportion of weapons used across the sector are manufactured here due to the Domain's Laissez-faire policy of letting companies set up shop here.",,,
DR_planet_Burke,CUSTOM,Burke is the breadbasket of the Metternich system. Thousands of farmers slave away under the baking sun alongside the many rivers of this world.  Most rural immigrants to the Domain Reformed are sent to this world to bolster the DR�s weak agriculture sector. This world is also the epicenter of luddic path resistance in the DR. This is because many apostates rediscover their faith through The Witnessing due to how they are treated. A massive guerrilla war is constantly being waged between the DR military and Luddic Path terrorists across the dunes. ,,,
DR_planet_Maistre,CUSTOM,"Mariste is a brutal prison world.  The people who reside here are career criminals, political prisoners, terrorists, and the few brave pioneers willing to tough it out for great riches. On this world, hundreds of criminals slave away digging up the mineral riches of the world to fuel the arms manufacturing sector. They are locked in battle with the jungle and the local megafauna for survival. A steady stream of outside personnel is necessary to keep the population steady. ",,,
,,,,,
,,,,,
#Ships,,,,,
shinano,SHIP,"The Shinano class were the first true supercarriers in the Persean sector. A point of pride among the reconstructionist admiralty A support carrier meant to augment fleets instead of serving as a force in its own right. Many among the more conservative admiralty argue that the Shinano class should replace the Ford, and queen Elizabeth class as flagships due to its very low-tech design. This is even though this design has many flaws and limitations. Most of the systems on board the ship are un-optimized and some are downright unfinished. ",,,
Iowa,SHIP,"The Iowa class are missile battleships dedicated to long-range combat but struggle at close range due to thin armor for their size and lacking flux dissipation.  

Despite being a cheaper counter to the Paragon class than the Yamato class, Reconstructionist admirals dislike it due to their love of guns over missiles, which they view as unreliable.
",,,
